hosts,refCount,propOfApps
www.example.com,234830,0.24476092997271284
www.paypal.com,200195,0.20866122035467038
app-measurement.com,179655,0.1872525864423103
schema.org,167569,0.17465547108375215
www.w3.org,133206,0.13883926431011875
xmlpull.org,75151,0.07832912595656152
fabric.io,55807,0.05816707072770594
settings.crashlytics.com,48870,0.05093670590540594
e.crashlytics.com,48396,0.0504426605074284
www.startappexchange.com,47493,0.04950147275558511
www.dummy.com,44285,0.046157806855348926
init.startappexchange.com,37194,0.03876692939319969
xml.apache.org,35261,0.036752183076130936
www.slf4j.org,32851,0.0342402644914772
purl.org,32279,0.03364407468632286
loopj.com,30469,0.03175753002315968
opensource.org,27711,0.028882894564041417
daneden.me,27251,0.02840344122423199
github.com,27136,0.028283577889279633
twitter4j.org,25192,0.026257366383650223
schemas.xmlsoap.org,24368,0.02539851953146986
www.firebase.com,23731,0.024734580884820716
www.samsungapps.com,22866,0.02383300014800516
www.idpf.org,22023,0.022954349788310926
www.daisy.org,21628,0.022542645289996312
wss.pollfish.com,20888,0.02177135078682462
xml.org,20675,0.021549343044695475
onesignal.com,20411,0.021274178519239628
api.upcdatabase.org,18977,0.019779534846877195
hostname,17326,0.01805871427290901
config.unityads.unity3d.com,17312,0.018044122214740898
zxing.appspot.com,16011,0.016688103094975537
info.static.startappservice.com,15963,0.016638073181256294
badad.googleplex.com,15573,0.01623158013228743
api.parse.com,15203,0.015845932880701585
maps.google,15058,0.0156948008496747
www.google,14795,0.015420678614088006
books.google,14474,0.015086103566090558
parse.com,14121,0.014718175242280281
ads.heyzap.com,13012,0.0135622757773919
searchmobileonline.com,12647,0.013181839975151809
java.sun.com,12423,0.012948367044462
api.instagram.com,11771,0.012268794049775595
www.openmobilealliance.org,11518,0.01200509471288041
www.wireless-village.org,11486,0.01197174143706758
www.gnu.org,11314,0.011792467579573621
med.heyzap.com,11257,0.011733057057032018
androidquery.appspot.com,11077,0.01154544488058485
svcs.paypal.com,10482,0.010925282408440047
apache.org,10459,0.010901309741449575
kawa.gnu.org,10417,0.010857533566945236
appinvgameserver.appspot.com,10414,0.010854406697337783
tech.yandex.com,10326,0.0107626851888525
androvote.appspot.com,10311,0.010747050840815238
tempuri.org,10029,0.010453125097714676
appinvtinywebdb.appspot.com,9913,0.010332219472893167
www.andromo.com,9406,0.009803778509233646
git-wip-us.apache.org,9206,0.00959532053540346
api.yandex.com,8989,0.009369143633797709
data.altbeacon.org,8979,0.009358720735106199
x.heyzap.com,8849,0.009223223052116578
alog.umeng.com,8473,0.008831322061315828
uri.paypal.com,8403,0.008758361770475263
dl.dropboxusercontent.com,8328,0.008680190030288944
adlic.rjfun.com,8158,0.008503000752533286
invalid.se,8091,0.008433167331300173
www.startapp.com,7953,0.008289331329357346
api.paypal.com,7867,0.008199694400610365
mobilelogs.supersonic.com,7839,0.00817051028427414
www.paypalobjects.com,7818,0.00814862219702197
init.startappservice.com,7766,0.008094423123826121
cms.paypal.com,7558,0.007877626831042728
www.paypal.jp,7557,0.007876584541173577
commons.apache.org,7516,0.007833850656538388
b.stats.paypal.com,7429,0.0077431714379222576
www.appsgeyser.com,7409,0.007722325640539239
imp.startappservice.com,7374,0.007685845495118956
www.biznessapps.com,7339,0.007649365349698674
cdn.unityads.unity3d.com,7116,0.007416934708878017
realm.io,7001,0.00729707137392566
api.sandbox.paypal.com,6905,0.00719701154648717
snd.sc,6829,0.0071177975164317
api.mixpanel.com,6730,0.007014610819385758
instagram.com,6674,0.006956242586713306
applift-a.apptornado.com,6648,0.006929143050115382
cevadesign.ro,6639,0.006919762441293023
graph.%s,6504,0.006779053308957648
farm%s.staticflickr.com,6485,0.0067592498014437796
sdk.appbrain.com,6474,0.00674778461288312
api.amplitude.com,6387,0.006657105394266989
sdk-b.apptornado.com,6285,0.006550791827613594
applift-b.apptornado.com,6284,0.006549749537744443
graph-video.%s,6241,0.006504931073370953
connect.tapjoy.com,6180,0.006441351391352747
ai-mediaservice.appspot.com,6160,0.0064205055939697275
tech.tapjoy.com,5843,0.006090099705448883
api-m.sandbox.paypal.com,5814,0.006059873299243506
sdk.hockeyapp.net,5813,0.006058831009374355
flurry.cachefly.net,5801,0.006046323530944544
api-m.paypal.com,5777,0.0060213085740849215
